model,dimension,AUC,OA,MCC,Sn,Sp,AA
base_grid_clf_P,122,0.5484813395012429,0.5245513413506013,0.03280053895796053,0.9934756400255301,0.012921696069328381,0.5031986680474293
base_grid_clf_PD,146,0.6169129949911909,0.5914893617021276,0.17877495863601414,0.7456208779519183,0.42332095326524294,0.5844709156085807
base_grid_clf_PDC,173,0.5433350478731158,0.5232192414431083,0.016132412363719983,0.9722005531522587,0.0333488084184463,0.5027746807853525
base_grid_clf_PDCQ,148,0.4479173313073604,0.4688251618871415,-0.07185670822337126,0.5599602865045032,0.3693902816465491,0.46467528407552616
base_bayes_clf_P,113,0.5760452113484426,0.5232562442183164,0.02798310295368199,0.9981561591376498,0.00510677808727948,0.5016314686124647
base_bayes_clf_PD,193,0.603699913308356,0.5774283071230343,0.1488118698080635,0.6958371746684632,0.44823584029712166,0.5720365074827924
base_bayes_clf_PDC,242,0.49872293509017745,0.5217761332099907,0.0,1.0,0.0,0.5
base_bayes_clf_PDCQ,239,0.48840779657636824,0.5167067530064755,-0.01737925155769626,0.9576625771221899,0.03559269575982668,0.4966276364410083
SVM_bayes,229,0.6329036602038733,0.6081776133209991,0.21356498267822854,0.7521452379263882,0.45109873104302073,0.6016219844847045
DT_bayes,11,0.5415111366289239,0.5371322849213691,0.06815981476240261,0.9321324728742643,0.10615908387496131,0.5191457783746127
NB_bayes,243,0.5973497509269632,0.5888621646623496,0.18047011238930205,0.8262534572016169,0.3298514391829155,0.5780524481922662
ABC_bayes,254,0.6242084232223861,0.581313598519889,0.17857175843250198,0.8947592369335509,0.239322191272052,0.5670407141028014
