P,PD,PDC,PDCQ
EC.0,RL.DDE,normwaalsvolume.G3,normwaalsvolume.G3
NI.3,II.DDE,RL.DDE,RL.DDE
ND.6,VR.DDE,hydrophobicity_ARGP820101.G2,hydrophobicity_ARGP820101.G2
DI.6,EC.0,II.DDE,II.DDE
VF.8,EC.DDE,VR.DDE,VR.DDE
QA.3,SR.DDE,EC.0,EC.0
SD.2,ID.DDE,hydrophobicity_PONP930101.G1.residue100,hydrophobicity_PONP930101.G1.residue100
II.0,YD.DDE,charge.G1.residue0,charge.G1.residue0
CD.3,NI.3,hydrophobicity_PONP930101.G2.residue100,hydrophobicity_PONP930101.G2.residue100
RK.5,RS.DDE,normwaalsvolume.G2.residue25,normwaalsvolume.G2.residue25
IN.3,ND.6,normwaalsvolume.G1.residue25,normwaalsvolume.G1.residue25
CN.7,DI.6,hydrophobicity_PRAM900101.G2.residue0,hydrophobicity_PRAM900101.G2.residue0
AH.6,PP.DDE,polarizability.G3.residue50,polarizability.G3.residue50
GM.9,VF.8,solventaccess.G3.residue25,solventaccess.G3.residue25
NL.7,QA.3,polarizability.G2.residue50,polarizability.G2.residue50
II.6,SD.2,EC.DDE,EC.DDE
VW.0,II.0,SR.DDE,SR.DDE
CT.2,CD.3,ID.DDE,ID.DDE
CD.9,PR.DDE,charge.G2.residue0,charge.G2.residue0
YD.0,RK.5,YD.DDE,YD.DDE
IS.4,IN.3,NI.3,NI.3
GI.8,CN.7,RS.DDE,RS.DDE
DW.3,KF.DDE,ND.6,ND.6
CV.4,AH.6,polarizability.G1.residue50,polarizability.G1.residue50
GD.3,GM.9,hydrophobicity_PRAM900101.G3.residue0,hydrophobicity_PRAM900101.G3.residue0
CE.4,NL.7,hydrophobicity_ARGP820101.G1.residue75,hydrophobicity_ARGP820101.G1.residue75
GC.6,II.6,polarizability.Tr2332,polarizability.Tr2332
KF.2,VW.0,solventaccess.G1.residue25,solventaccess.G1.residue25
KR.5,CT.2,DI.6,DI.6
DN.6,CD.9,hydrophobicity_ZIMJ680101.G3.residue25,hydrophobicity_ZIMJ680101.G3.residue25
YC.5,FM.DDE,secondarystruct.G2.residue75,secondarystruct.G2.residue75
RK.1,RV.DDE,PP.DDE,PP.DDE
GC.7,YD.0,VF.8,VF.8
IY.9,IS.4,polarity.G1.residue100,polarity.G1.residue100
DD.8,KN.DDE,polarity.G3,polarity.G3
AC.8,GI.8,hydrophobicity_PRAM900101.G1.residue0,hydrophobicity_PRAM900101.G1.residue0
