dimension,auc_mean,auc_std,estimator
30,0.8140277777777778,0.049318750231278574,"RandomForestClassifier(ccp_alpha=9.181572320567889e-08, criterion='entropy',
                       max_depth=18, max_leaf_nodes=200, min_samples_split=30,
                       n_estimators=162, random_state=42)"
31,0.8066339869281045,0.057050727888128254,"RandomForestClassifier(ccp_alpha=0.015534884358071077, criterion='entropy',
                       max_depth=30, max_leaf_nodes=126, n_estimators=516,
                       random_state=42)"
32,0.8072753267973856,0.04944018396801267,"RandomForestClassifier(ccp_alpha=9.71317502160612e-06, criterion='entropy',
                       max_depth=150, max_leaf_nodes=50, min_samples_split=30,
                       n_estimators=150, random_state=42)"
33,0.8130433006535946,0.04568962465188141,"RandomForestClassifier(ccp_alpha=2.294162995522024e-08, criterion='entropy',
                       max_depth=150, max_leaf_nodes=200, min_samples_split=30,
                       n_estimators=441, random_state=42)"
34,0.806956699346405,0.04594806414978242,"RandomForestClassifier(ccp_alpha=1.4181695501705563e-08, criterion='entropy',
                       max_depth=105, max_leaf_nodes=200, min_samples_split=30,
                       n_estimators=1000, random_state=42)"
35,0.8109477124183005,0.04661010364870223,"RandomForestClassifier(ccp_alpha=0.0023232412652261073, criterion='entropy',
                       max_depth=37, max_leaf_nodes=200, min_samples_split=30,
                       n_estimators=1000, random_state=42)"
36,0.8098447712418301,0.05187369703378756,"RandomForestClassifier(ccp_alpha=0.0005573978084345878, criterion='entropy',
                       max_depth=84, max_leaf_nodes=200, min_samples_split=30,
                       n_estimators=1000, random_state=42)"
37,0.8057761437908496,0.04937092314447915,"RandomForestClassifier(ccp_alpha=1.33152319594308e-08, criterion='entropy',
                       max_depth=69, max_leaf_nodes=151, min_samples_split=26,
                       n_estimators=965, random_state=42)"
38,0.8126102941176472,0.053842838548895974,"RandomForestClassifier(ccp_alpha=1.9163319213862672e-07, criterion='entropy',
                       max_depth=150, max_leaf_nodes=200, min_samples_split=30,
                       n_estimators=1000, random_state=42)"
39,0.8195669934640522,0.07004523135808402,"RandomForestClassifier(ccp_alpha=0.000799921906391222, criterion='entropy',
                       max_depth=19, max_leaf_nodes=136, min_samples_split=8,
                       n_estimators=351, random_state=42)"
40,0.822328431372549,0.05069823367783174,"RandomForestClassifier(ccp_alpha=1.2303404167324291e-07, criterion='entropy',
                       max_depth=5, max_leaf_nodes=200, min_samples_split=14,
                       n_estimators=128, random_state=42)"
41,0.8223978758169934,0.04056600054339233,"RandomForestClassifier(ccp_alpha=0.0022264965455638793, max_depth=5,
                       max_leaf_nodes=200, min_samples_split=30,
                       n_estimators=1000, random_state=42)"
42,0.8249918300653594,0.043711035479474226,"RandomForestClassifier(ccp_alpha=4.107930505919071e-06, max_depth=35,
                       max_leaf_nodes=186, min_samples_split=24,
                       n_estimators=10, random_state=42)"
43,0.834763071895425,0.05532416791195081,"RandomForestClassifier(ccp_alpha=4.207653184765348e-09, criterion='entropy',
                       max_depth=5, max_leaf_nodes=200, n_estimators=10,
                       random_state=42)"
44,0.8338112745098039,0.04513513666272497,"RandomForestClassifier(ccp_alpha=3.5844996835793475e-08, criterion='entropy',
                       max_depth=98, max_leaf_nodes=132, min_samples_leaf=2,
                       min_samples_split=15, n_estimators=231, random_state=42)"
45,0.8371323529411765,0.04337998728825666,"RandomForestClassifier(ccp_alpha=2.807534637550027e-06, max_depth=20,
                       max_leaf_nodes=115, min_samples_leaf=3,
                       min_samples_split=15, n_estimators=20, random_state=42)"
46,0.8403839869281047,0.052408981948601975,"RandomForestClassifier(ccp_alpha=0.00020834774953097372, criterion='entropy',
                       max_depth=150, max_leaf_nodes=200, min_samples_split=8,
                       n_estimators=1000, random_state=42)"
47,0.840408496732026,0.05536666755010095,"RandomForestClassifier(ccp_alpha=0.0024833752122391454, criterion='entropy',
                       max_depth=99, max_leaf_nodes=132, min_samples_leaf=2,
                       min_samples_split=7, n_estimators=184, random_state=42)"
48,0.8414501633986928,0.047431153643632415,"RandomForestClassifier(ccp_alpha=5.0957372034031776e-08, criterion='entropy',
                       max_depth=75, max_leaf_nodes=177, min_samples_split=27,
                       n_estimators=183, random_state=42)"
49,0.8407271241830065,0.053408647427940166,"RandomForestClassifier(ccp_alpha=1e-10, criterion='entropy', max_depth=150,
                       max_leaf_nodes=148, n_estimators=1000, random_state=42)"
50,0.8383578431372548,0.05738493698134878,"RandomForestClassifier(ccp_alpha=2.369040660634779e-10, criterion='entropy',
                       max_depth=150, max_leaf_nodes=200, n_estimators=315,
                       random_state=42)"
51,0.8461805555555555,0.04627029789120806,"RandomForestClassifier(ccp_alpha=3.755607836015946e-09, criterion='entropy',
                       max_depth=150, max_leaf_nodes=200, n_estimators=1000,
                       random_state=42)"
52,0.8454452614379084,0.037027479808848754,"RandomForestClassifier(ccp_alpha=2.7715107092391113e-08, criterion='entropy',
                       max_depth=150, max_leaf_nodes=153, min_samples_split=21,
                       n_estimators=1000, random_state=42)"
53,0.849107434640523,0.03465180293137455,"RandomForestClassifier(ccp_alpha=0.002000448235796186, criterion='entropy',
                       max_depth=135, max_leaf_nodes=77, n_estimators=258,
                       random_state=42)"
54,0.8439624183006537,0.03315917615056687,"RandomForestClassifier(ccp_alpha=0.024316243253750324, criterion='entropy',
                       max_depth=150, max_leaf_nodes=137, n_estimators=1000,
                       random_state=42)"
55,0.8491748366013072,0.03188911783545658,"RandomForestClassifier(ccp_alpha=1.2518858597439737e-07, criterion='entropy',
                       max_depth=29, max_leaf_nodes=68, min_samples_split=10,
                       n_estimators=948, random_state=42)"
56,0.8544178921568628,0.04540498421698763,"RandomForestClassifier(ccp_alpha=6.713417925982806e-07, criterion='entropy',
                       max_depth=150, max_leaf_nodes=50, n_estimators=209,
                       random_state=42)"
57,0.8499101307189543,0.03898058013750959,"RandomForestClassifier(ccp_alpha=2.4614677463214377e-06, criterion='entropy',
                       max_depth=150, max_leaf_nodes=146, min_samples_split=16,
                       n_estimators=1000, random_state=42)"
58,0.8445179738562091,0.034157996488404334,"RandomForestClassifier(ccp_alpha=3.251490161858273e-07, criterion='entropy',
                       max_depth=23, max_leaf_nodes=50, min_samples_split=27,
                       n_estimators=1000, random_state=42)"
59,0.8492034313725491,0.03440940039648291,"RandomForestClassifier(ccp_alpha=1e-10, criterion='entropy', max_depth=119,
                       max_leaf_nodes=92, min_samples_split=25,
                       n_estimators=477, random_state=42)"
60,0.8485253267973857,0.03993921015147667,"RandomForestClassifier(ccp_alpha=0.012919127605148094, criterion='entropy',
                       max_depth=150, max_leaf_nodes=94, min_samples_split=7,
                       n_estimators=1000, random_state=42)"
61,0.8665359477124183,0.041577072712630475,"RandomForestClassifier(ccp_alpha=0.005933667782960919, criterion='entropy',
                       max_depth=19, max_leaf_nodes=188, min_samples_split=22,
                       n_estimators=26, random_state=42)"
62,0.8499509803921569,0.03912708195663128,"RandomForestClassifier(ccp_alpha=3.0298582478565265e-10, max_depth=150,
                       max_leaf_nodes=189, min_samples_split=17,
                       n_estimators=1000, random_state=42)"
63,0.8529595588235294,0.04591613790631573,"RandomForestClassifier(ccp_alpha=1e-10, criterion='entropy', max_depth=150,
                       max_leaf_nodes=116, n_estimators=207, random_state=42)"
64,0.853966503267974,0.03208132901536987,"RandomForestClassifier(ccp_alpha=4.031567550060291e-07, criterion='entropy',
                       max_depth=133, max_leaf_nodes=172, min_samples_split=11,
                       n_estimators=198, random_state=42)"
65,0.855326797385621,0.041176694288219004,"RandomForestClassifier(ccp_alpha=4.082571128249266e-10, criterion='entropy',
                       max_depth=105, max_leaf_nodes=190, min_samples_split=12,
                       n_estimators=77, random_state=42)"
