dimension,auc_mean,auc_std,estimator
1,0.7078676470588235,0.07094988093644382,"SVC(C=0.5, gamma=0.5254801670314164, probability=True, random_state=42)"
2,0.7264215686274509,0.08391137945139114,"SVC(C=125444.38082335534, gamma=0.003730393021427302, probability=True,
    random_state=42)"
3,0.732687908496732,0.08133659213246636,"SVC(C=131072.0, degree=1, gamma=0.000534496296235932, kernel='poly',
    probability=True, random_state=42)"
4,0.7953308823529412,0.09646958713980656,"SVC(C=131072.0, gamma=0.0011396600001150258, probability=True, random_state=42)"
5,0.7948692810457516,0.09568621591394329,"SVC(C=1.3033263118282936, gamma=4.520356090977864e-05, kernel='sigmoid',
    probability=True, random_state=42)"
6,0.8048202614379084,0.0794481092359853,"SVC(C=1.3033263118282936, gamma=4.520356090977864e-05, kernel='sigmoid',
    probability=True, random_state=42)"
7,0.8166299019607843,0.07039126374459209,"SVC(C=112287.6772014874, gamma=1.5372353711566853e-05, probability=True,
    random_state=42)"
8,0.8181372549019608,0.08114472694834343,"SVC(C=1.3033263118282936, gamma=4.520356090977864e-05, kernel='sigmoid',
    probability=True, random_state=42)"
9,0.8262499999999999,0.0711865777265139,"SVC(C=0.5813869506517986, gamma=0.0001125085260131088, probability=True,
    random_state=42)"
10,0.8209640522875817,0.06544666570207107,"SVC(C=1.3033263118282936, gamma=4.520356090977864e-05, kernel='sigmoid',
    probability=True, random_state=42)"
11,0.8230392156862745,0.07145886470637265,"SVC(C=37842.59090086371, gamma=1.5389204976064565e-05, probability=True,
    random_state=42)"
12,0.8332475490196078,0.06808844912471464,"SVC(C=441.06622691118537, degree=1, gamma=0.012652742268859147, kernel='poly',
    probability=True, random_state=42)"
13,0.8388031045751635,0.06382772732016152,"SVC(C=131072.0, gamma=1.52587890625e-05, kernel='sigmoid', probability=True,
    random_state=42)"
14,0.8462459150326798,0.08594269236330325,"SVC(C=17251.146618553477, gamma=0.022253143314410383, kernel='sigmoid',
    probability=True, random_state=42)"
15,0.8508823529411764,0.07663840100447271,"SVC(C=1.8499225278222957, kernel='linear', probability=True, random_state=42)"
16,0.8533006535947711,0.08355120340545301,"SVC(C=131072.0, gamma=1.52587890625e-05, probability=True, random_state=42)"
17,0.855326797385621,0.08358225510199764,"SVC(C=37.944254324331894, degree=1, gamma=0.037565514297708325, kernel='poly',
    probability=True, random_state=42)"
18,0.8587785947712417,0.08028684694474437,"SVC(C=10796.141849938856, gamma=2.1346792755332915e-05, kernel='sigmoid',
    probability=True, random_state=42)"
19,0.8596446078431372,0.07673927550923743,"SVC(C=1.8499225278222957, kernel='linear', probability=True, random_state=42)"
20,0.8691584967320262,0.07589536188403456,"SVC(C=37842.59090086371, gamma=1.5389204976064565e-05, probability=True,
    random_state=42)"
21,0.8672426470588235,0.08774897838710663,"SVC(C=87629.49151420791, degree=2, gamma=0.0038884524879971836, kernel='poly',
    probability=True, random_state=42)"
22,0.8670629084967321,0.07399113395417307,"SVC(C=1.8499225278222957, kernel='linear', probability=True, random_state=42)"
23,0.8631821895424837,0.06401792099944818,"SVC(C=131072.0, gamma=1.52587890625e-05, kernel='sigmoid', probability=True,
    random_state=42)"
24,0.8750571895424836,0.06168600445036984,"SVC(C=0.5, degree=1, gamma=0.41188357865171504, kernel='poly', probability=True,
    random_state=42)"
25,0.8813194444444445,0.0485315575285944,"SVC(C=10796.141849938856, gamma=2.1346792755332915e-05, kernel='sigmoid',
    probability=True, random_state=42)"
26,0.8886029411764704,0.05033371018752996,"SVC(C=95.23871678213351, gamma=0.005939497595258687, kernel='sigmoid',
    probability=True, random_state=42)"
27,0.8894607843137254,0.05233517543904189,"SVC(C=95.23871678213351, gamma=0.005939497595258687, kernel='sigmoid',
    probability=True, random_state=42)"
28,0.888656045751634,0.053855835013860445,"SVC(C=0.5, kernel='linear', probability=True, random_state=42)"
29,0.8965073529411764,0.045643185434315045,"SVC(C=10796.141849938856, gamma=2.1346792755332915e-05, kernel='sigmoid',
    probability=True, random_state=42)"
30,0.8966584967320262,0.05028713170850382,"SVC(C=0.5, kernel='linear', probability=True, random_state=42)"
31,0.9040032679738561,0.04721734545232217,"SVC(C=95.23871678213351, gamma=0.005939497595258687, kernel='sigmoid',
    probability=True, random_state=42)"
32,0.9019321895424837,0.04834717870591425,"SVC(C=0.5, kernel='linear', probability=True, random_state=42)"
33,0.9032393790849673,0.04652892919352045,"SVC(C=0.5, kernel='linear', probability=True, random_state=42)"
34,0.9092728758169933,0.048799358823772954,"SVC(C=95.23871678213351, gamma=0.005939497595258687, kernel='sigmoid',
    probability=True, random_state=42)"
35,0.9087132352941175,0.05116461619088418,"SVC(C=0.7118129979837391, degree=1, gamma=3.540392921535545, kernel='poly',
    probability=True, random_state=42)"
36,0.90984477124183,0.041478433109216895,"SVC(C=1.8499225278222957, kernel='linear', probability=True, random_state=42)"
