dimension,auc_mean,auc_std,estimator
1,0.6582720588235295,0.06457482242395789,"RandomForestClassifier(ccp_alpha=0.044224772504483166, criterion='entropy',
                       max_depth=43, max_leaf_nodes=62, min_samples_leaf=10,
                       min_samples_split=20, n_estimators=71, random_state=42)"
2,0.7424203431372549,0.08248202732629417,"RandomForestClassifier(ccp_alpha=0.040894787967335686, max_depth=5,
                       max_leaf_nodes=200, min_samples_leaf=6, n_estimators=988,
                       random_state=42)"
3,0.754389297385621,0.09112136564907494,"RandomForestClassifier(ccp_alpha=0.02593576960671971, max_depth=5,
                       max_leaf_nodes=145, min_samples_leaf=4,
                       min_samples_split=3, n_estimators=1000, random_state=42)"
4,0.7550408496732026,0.07107640106784009,"RandomForestClassifier(ccp_alpha=0.0022038364400462137, criterion='entropy',
                       max_depth=5, max_leaf_nodes=200, min_samples_leaf=10,
                       min_samples_split=30, n_estimators=10, random_state=42)"
5,0.7779616013071895,0.09020919682725113,"RandomForestClassifier(ccp_alpha=0.01769847419646816, max_depth=5,
                       max_leaf_nodes=200, min_samples_leaf=10,
                       min_samples_split=21, n_estimators=1000,
                       random_state=42)"
6,0.8011029411764705,0.0864046779656241,"RandomForestClassifier(ccp_alpha=3.6122468515515897e-07, criterion='entropy',
                       max_depth=150, max_leaf_nodes=50, min_samples_leaf=5,
                       min_samples_split=30, n_estimators=1000,
                       random_state=42)"
7,0.8020057189542484,0.0907585651667237,"RandomForestClassifier(ccp_alpha=8.290097036221107e-10, criterion='entropy',
                       max_depth=150, max_leaf_nodes=200, min_samples_leaf=4,
                       min_samples_split=30, n_estimators=1000,
                       random_state=42)"
8,0.8151143790849673,0.08890942399044828,"RandomForestClassifier(ccp_alpha=5.606600772841079e-06, criterion='entropy',
                       max_depth=16, max_leaf_nodes=58, min_samples_leaf=2,
                       min_samples_split=30, n_estimators=1000,
                       random_state=42)"
9,0.8254983660130717,0.07903639235356869,"RandomForestClassifier(ccp_alpha=0.00051570854600976, criterion='entropy',
                       max_depth=150, max_leaf_nodes=66, n_estimators=1000,
                       random_state=42)"
10,0.8482598039215686,0.07750941517872104,"RandomForestClassifier(ccp_alpha=2.132006851308484e-06, criterion='entropy',
                       max_depth=145, max_leaf_nodes=57, min_samples_leaf=3,
                       n_estimators=898, random_state=42)"
11,0.8403390522875818,0.07842531135093196,"RandomForestClassifier(ccp_alpha=2.57853344010659e-10, criterion='entropy',
                       max_depth=11, max_leaf_nodes=105, min_samples_split=28,
                       n_estimators=760, random_state=42)"
12,0.8471078431372548,0.07427574391103993,"RandomForestClassifier(ccp_alpha=2.6373118561824134e-08, criterion='entropy',
                       max_depth=150, max_leaf_nodes=200, min_samples_split=30,
                       n_estimators=244, random_state=42)"
13,0.8533047385620914,0.07571833640996481,"RandomForestClassifier(ccp_alpha=0.0003709420866383586, criterion='entropy',
                       max_depth=5, max_leaf_nodes=146, min_samples_split=28,
                       n_estimators=250, random_state=42)"
