dimension,auc_mean,auc_std,estimator
1,0.7426041666666666,0.07626678208704424,"RandomForestClassifier(ccp_alpha=0.026376906675229458, max_depth=86,
                       max_leaf_nodes=50, min_samples_split=17,
                       n_estimators=955, random_state=42)"
2,0.7296241830065359,0.08107350118903779,"RandomForestClassifier(ccp_alpha=0.02484591051269122, criterion='entropy',
                       max_depth=9, max_leaf_nodes=107, min_samples_split=27,
                       n_estimators=496, random_state=42)"
3,0.7417238562091503,0.0857653830652771,"RandomForestClassifier(ccp_alpha=0.06134691334719789, criterion='entropy',
                       max_depth=150, max_leaf_nodes=146, min_samples_split=30,
                       n_estimators=1000, random_state=42)"
4,0.8014174836601307,0.06624896691182033,"RandomForestClassifier(ccp_alpha=2.15954947247527e-08, criterion='entropy',
                       max_depth=51, max_leaf_nodes=139, min_samples_leaf=10,
                       min_samples_split=4, n_estimators=226, random_state=42)"
5,0.8018750000000001,0.0633021816166663,"RandomForestClassifier(ccp_alpha=0.022514116640651588, criterion='entropy',
                       max_depth=5, max_leaf_nodes=82, min_samples_leaf=10,
                       min_samples_split=23, n_estimators=1000,
                       random_state=42)"
6,0.807079248366013,0.07261173458578712,"RandomForestClassifier(ccp_alpha=0.02365285424338075, max_depth=49,
                       max_leaf_nodes=193, min_samples_leaf=9,
                       min_samples_split=4, n_estimators=19, random_state=42)"
7,0.8053145424836601,0.07283020507325391,"RandomForestClassifier(ccp_alpha=0.0006898332694780677, criterion='entropy',
                       max_depth=33, max_leaf_nodes=200, min_samples_leaf=10,
                       min_samples_split=30, n_estimators=190, random_state=42)"
8,0.8109068627450979,0.07612223433609057,"RandomForestClassifier(ccp_alpha=3.458614853079343e-09, criterion='entropy',
                       max_depth=135, max_leaf_nodes=123, min_samples_leaf=10,
                       min_samples_split=30, n_estimators=1000,
                       random_state=42)"
9,0.8072406045751634,0.0469718678236461,"RandomForestClassifier(ccp_alpha=3.525336006195892e-08, criterion='entropy',
                       max_depth=150, max_leaf_nodes=200, min_samples_split=30,
                       n_estimators=10, random_state=42)"
10,0.802986111111111,0.08184078535141269,"RandomForestClassifier(ccp_alpha=0.01228324344418245, criterion='entropy',
                       max_depth=5, max_leaf_nodes=50, min_samples_leaf=10,
                       min_samples_split=14, n_estimators=1000,
                       random_state=42)"
11,0.7999795751633987,0.08080980449794221,"RandomForestClassifier(ccp_alpha=1e-10, criterion='entropy', max_depth=5,
                       max_leaf_nodes=123, min_samples_leaf=4,
                       min_samples_split=17, n_estimators=1000,
                       random_state=42)"
12,0.7984436274509803,0.09456662546336447,"RandomForestClassifier(ccp_alpha=1.1927413043337852e-05, criterion='entropy',
                       max_depth=150, max_leaf_nodes=200, min_samples_leaf=3,
                       min_samples_split=25, n_estimators=35, random_state=42)"
13,0.8029207516339868,0.07172767875540072,"RandomForestClassifier(ccp_alpha=5.976120280626964e-05, criterion='entropy',
                       max_depth=5, max_leaf_nodes=50, min_samples_split=30,
                       n_estimators=473, random_state=42)"
14,0.8052696078431373,0.08605215151426547,"RandomForestClassifier(ccp_alpha=3.074365717136821e-05, max_depth=5,
                       max_leaf_nodes=200, min_samples_split=30,
                       n_estimators=1000, random_state=42)"
