dimension,auc_mean,auc_std,estimator
1,0.7208986928104575,0.09316506471925436,"DecisionTreeClassifier(ccp_alpha=0.01583734663477425, criterion='entropy',
                       max_depth=93, max_leaf_nodes=200, min_samples_leaf=6,
                       min_samples_split=3, random_state=42)"
2,0.6811397058823528,0.12254877730095871,"DecisionTreeClassifier(ccp_alpha=1.2619425629415188e-06, max_depth=140,
                       max_leaf_nodes=97, min_samples_leaf=7,
                       min_samples_split=14, random_state=42)"
3,0.6761683006535948,0.08498704404367853,"DecisionTreeClassifier(ccp_alpha=3.230824361824754e-07, max_depth=49,
                       max_leaf_nodes=147, min_samples_leaf=6,
                       min_samples_split=6, random_state=42)"
4,0.7621752450980391,0.06549833623692966,"DecisionTreeClassifier(ccp_alpha=3.786422898088522e-10, criterion='entropy',
                       max_depth=5, max_leaf_nodes=50, min_samples_leaf=10,
                       random_state=42)"
5,0.7712683823529412,0.05797592373364751,"DecisionTreeClassifier(ccp_alpha=0.0002941213973490763, max_depth=5,
                       max_leaf_nodes=50, min_samples_leaf=10, random_state=42)"
6,0.7665420751633987,0.06189048399786682,"DecisionTreeClassifier(ccp_alpha=1.4917899452707948e-07, max_depth=5,
                       max_leaf_nodes=200, min_samples_leaf=10,
                       min_samples_split=10, random_state=42)"
7,0.7430657679738563,0.09176900280313566,"DecisionTreeClassifier(ccp_alpha=0.0007164584230050725, criterion='entropy',
                       max_depth=5, max_leaf_nodes=200, min_samples_leaf=10,
                       random_state=42)"
8,0.7721323529411764,0.056324399253035465,"DecisionTreeClassifier(ccp_alpha=1.3840122148814035e-09, criterion='entropy',
                       max_depth=5, max_leaf_nodes=200, min_samples_leaf=9,
                       min_samples_split=28, random_state=42)"
9,0.7710049019607842,0.07069880403187484,"DecisionTreeClassifier(ccp_alpha=1e-10, criterion='entropy', max_depth=5,
                       max_leaf_nodes=108, min_samples_leaf=10,
                       min_samples_split=27, random_state=42)"
10,0.768108660130719,0.06902226546261901,"DecisionTreeClassifier(ccp_alpha=0.0010048707317079479, criterion='entropy',
                       max_depth=5, max_leaf_nodes=176, min_samples_leaf=10,
                       min_samples_split=30, random_state=42)"
11,0.7754983660130719,0.05944008926957951,"DecisionTreeClassifier(ccp_alpha=1e-10, criterion='entropy', max_depth=5,
                       max_leaf_nodes=200, min_samples_leaf=10,
                       random_state=42)"
12,0.7454656862745097,0.07062297733451876,"DecisionTreeClassifier(ccp_alpha=0.016025754037936973, criterion='entropy',
                       max_depth=5, max_leaf_nodes=199, min_samples_leaf=10,
                       min_samples_split=23, random_state=42)"
13,0.73328022875817,0.0934454057118556,"DecisionTreeClassifier(ccp_alpha=0.0021434574672999688, max_depth=106,
                       max_leaf_nodes=143, min_samples_leaf=9,
                       min_samples_split=30, random_state=42)"
14,0.7528696895424836,0.07347660665743906,"DecisionTreeClassifier(ccp_alpha=0.0009959652767276385, criterion='entropy',
                       max_depth=5, max_leaf_nodes=50, min_samples_leaf=10,
                       min_samples_split=24, random_state=42)"
15,0.7483026960784314,0.07517064829990171,"DecisionTreeClassifier(ccp_alpha=2.941955989459002e-09, criterion='entropy',
                       max_depth=5, max_leaf_nodes=50, min_samples_leaf=4,
                       min_samples_split=30, random_state=42)"
16,0.7306311274509802,0.09579095942824158,"DecisionTreeClassifier(ccp_alpha=0.00025291404768834424, criterion='entropy',
                       max_depth=5, max_leaf_nodes=91, min_samples_leaf=4,
                       min_samples_split=21, random_state=42)"
17,0.7231760620915033,0.11030652316535157,"DecisionTreeClassifier(ccp_alpha=4.122856949855767e-08, criterion='entropy',
                       max_depth=5, max_leaf_nodes=200, min_samples_split=30,
                       random_state=42)"
18,0.720392156862745,0.09665374837174721,"DecisionTreeClassifier(ccp_alpha=1.0756639023231623e-07, max_depth=150,
                       max_leaf_nodes=93, min_samples_leaf=4,
                       min_samples_split=30, random_state=42)"
19,0.7186928104575163,0.08730600301930252,"DecisionTreeClassifier(ccp_alpha=1.2399071847606836e-05, max_depth=62,
                       max_leaf_nodes=50, min_samples_leaf=5,
                       min_samples_split=30, random_state=42)"
20,0.7012520424836601,0.09885309475678752,"DecisionTreeClassifier(ccp_alpha=6.13197844149372e-05, criterion='entropy',
                       max_depth=97, max_leaf_nodes=84, min_samples_leaf=5,
                       random_state=42)"
21,0.7165584150326796,0.09176996053119761,"DecisionTreeClassifier(ccp_alpha=1.2583384696068421e-09, max_depth=121,
                       max_leaf_nodes=196, min_samples_leaf=3,
                       min_samples_split=30, random_state=42)"
